time,angle,vel,accel,dis,turn_point
0.00,30.0000,0.0000,0.0000,0.0000,1
0.02,29.8876,-0.0981,-4.9050,-0.0020,0
0.04,29.6610,-0.1958,-4.8870,-0.0059,0
0.06,29.3264,-0.2928,-4.8510,-0.0118,0
0.08,28.8785,-0.3887,-4.7958,-0.0196,0
0.10,28.3234,-0.4831,-4.7225,-0.0293,0
0.12,27.6615,-0.5757,-4.6307,-0.0408,0
0.14,26.8990,-0.6661,-4.5213,-0.0541,0
0.16,26.0363,-0.7540,-4.3941,-0.0692,0
0.18,25.0737,-0.8390,-4.2490,-0.0860,0
0.20,24.0175,-0.9207,-4.0868,-0.1044,0
0.22,22.8737,-0.9989,-3.9082,-0.1244,0
0.24,21.6426,-1.0732,-3.7132,-0.1459,0
0.26,20.3305,-1.1433,-3.5026,-0.1688,0
0.28,18.9432,-1.2088,-3.2773,-0.1930,0
0.30,17.4871,-1.2696,-3.0383,-0.2184,0
0.32,15.9679,-1.3253,-2.7866,-0.2449,0
0.34,14.3918,-1.3758,-2.5231,-0.2724,0
0.36,12.7645,-1.4208,-2.2492,-0.3008,0
0.38,11.0923,-1.4601,-1.9658,-0.3300,0
0.40,9.3809,-1.4936,-1.6742,-0.3599,0
0.42,7.6362,-1.5211,-1.3757,-0.3903,0
0.44,5.8698,-1.5425,-1.0724,-0.4212,0
0.46,4.0819,-1.5578,-0.7649,-0.4524,0
0.48,2.2838,-1.5669,-0.4552,-0.4837,0
0.50,0.4872,-1.5698,-0.1458,-0.5151,0
0.52,-1.3082,-1.5665,0.1630,-0.5464,0
0.54,-3.0907,-1.5571,0.4690,-0.5775,0
0.56,-4.8550,-1.5417,0.7710,-0.6083,0
0.58,-6.5952,-1.5203,1.0676,-0.6387,0
0.60,-8.3058,-1.4931,1.3578,-0.6686,0
0.62,-9.9813,-1.4603,1.6404,-0.6978,0
0.64,-11.6105,-1.4220,1.9135,-0.7262,0
0.66,-13.1878,-1.3785,2.1761,-0.7538,0
0.68,-14.7136,-1.3299,2.4284,-0.7804,0
0.70,-16.1764,-1.2765,2.6685,-0.8059,0
0.72,-17.5711,-1.2186,2.8957,-0.8303,0
0.74,-18.8978,-1.1564,3.1103,-0.8534,0
