time,angle,vel,accel,dis,turn_point
0.00,30.0000,0.0000,0.0000,0.0000,1
0.02,29.8876,-0.0981,-4.9050,-0.0020,0
0.04,29.6610,-0.1958,-4.8870,-0.0059,0
0.06,29.3264,-0.2928,-4.8510,-0.0118,0
0.08,28.8785,-0.3887,-4.7958,-0.0196,0
0.10,28.3234,-0.4831,-4.7225,-0.0293,0
0.12,27.6615,-0.5757,-4.6307,-0.0408,0
0.14,26.8990,-0.6661,-4.5213,-0.0541,0
0.16,26.0363,-0.7540,-4.3941,-0.0692,0
0.18,25.0737,-0.8390,-4.2490,-0.0860,0
0.20,24.0175,-0.9207,-4.0868,-0.1044,0
0.22,22.8737,-0.9989,-3.9082,-0.1244,0
0.24,21.6426,-1.0732,-3.7132,-0.1459,0
0.26,20.3305,-1.1433,-3.5026,-0.1688,0
0.28,18.9432,-1.2088,-3.2773,-0.1930,0
