motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -12; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -3; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -8; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -12; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -15; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -7; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -4; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -2; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -3; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -9; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -6; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -7; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -11; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -19; white_tape_count=0
motor A = 130,1; motor B = 255,1; ldr_offset = -28; ldr_diff = -213; white_tape_count=0
motor A = 130,1; motor B = 255,1; ldr_offset = -28; ldr_diff = -61; white_tape_count=0
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -10; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = 1; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = 1; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = 0; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -2; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -12; white_tape_count=1
motor A = 130,1; motor B = 255,1; ldr_offset = -28; ldr_diff = -219; white_tape_count=1
motor A = 130,1; motor B = 255,1; ldr_offset = -28; ldr_diff = -109; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -2; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = 9; white_tape_count=1
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -13; white_tape_count=2
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -2; white_tape_count=2
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -2; white_tape_count=2
motor A = 255,0; motor B = 255,1; ldr_offset = -28; ldr_diff = -3; white_tape_count=2
